time_updated,long,placename,placenameformap,state,levelofgovernmentlocalstatenational,typeofaction,linktosourcenewspressreleaseetc.,datesineffect
2020-03-26T03:29:29.113Z,-84.39,Georgia - Atlanta,Atlanta,GA,Local,Eviction Moratorium,https://www.atlantaga.gov/Home/ShowDocument?id=45476,No evictions from public housing or select other landlords thru May 15.
2020-03-26T03:29:29.113Z,,Hawaii,Hawaii,HI,State,Eviction Moratorium,https://www.courts.state.hi.us/wp-content/uploads/2020/03/031619_scmf-20-152_In_Re_COVID-19.pdf,Thru April 30
2020-03-26T03:29:29.113Z,,Idaho,Idaho,ID,State,Eviction Moratorium,https://isc.idaho.gov/files/COVID-19-Order.pdf,Thru April 10
2020-03-26T03:29:29.113Z,,Illinois,Illinois,IL,State,Moratorium on Utility Shutoffs,https://www.foodandwaterwatch.org/news/stopping-water-shutoffs-locally-not-enough-we-need-national-ban-and-service-restoration-plan,No water shutoffs
2020-03-26T03:29:29.113Z,,Illinois,Illinois,IL,State,Eviction Moratorium,https://www2.illinois.gov/IISNews/21288-Gov._Pritzker_Stay_at_Home_Order.pdf,Law enforcement ordered not to enforce eviction orders thru April 7.
2020-03-26T03:29:29.113Z,-87.684722,Illinois - Cook County (Chicago),Cook County,IL,Local,Eviction Moratorium,https://wbbm780.radio.com/articles/suntimes/cook-county-sheriff-s-office-suspends-jail-visits-evictions,Thru April 14
2020-03-26T03:29:29.113Z,-88.441944,Illinois - Twenty-Third Judicial Circuit (DeKalb and Kendall Counties),Dekalb and Kendall Counties,IL,Local,Eviction Moratorium,https://dekalbcounty.org/wp-content/uploads/2020/03/news-jd-23rd-judicial-circuit.pdf,No hearings thru April 17
2020-03-26T03:29:29.113Z,,Indiana,Indiana,IN,State,Eviction Moratorium,https://www.in.gov/gov/files/EO_20-06.pdf,Duration of state of emergency
2020-03-26T03:29:29.113Z,,Iowa,Iowa,IA,State,Eviction Moratorium,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.19.pdf,Duration of state of emergency
2020-03-26T03:29:29.113Z,,Kansas,Kansas,KS,State,Eviction Moratorium,https://governor.kansas.gov/wp-content/uploads/2020/03/20-06-Executed.pdf,Thru May 1
2020-03-26T03:29:29.113Z,,Kentucky,Kentucky,KY,State,Eviction Moratorium,https://www.nkybar.com/resources/KENTUCKY%20COURT%20OF%20JUSTICE%20RESPONSE%20TO%20COVID-19%20EMERGENCY.pdf,Thru April 10
2020-03-26T03:29:29.113Z,,Louisiana,Louisiana,LA,State,Moratorium on Utility Shutoffs,https://louisianalawhelp.org/resource/coronavirus-covid-19-information?ref=nyKu7,No water shutoffs
2020-03-26T03:29:29.113Z,,Louisiana,Louisiana,LA,State,Eviction Moratorium,https://www.theadvocate.com/baton_rouge/news/coronavirus/article_47a806ca-6d45-11ea-844c-03114270875d.html,Thru April 13
2020-03-26T03:29:29.113Z,-91.178611,Louisiana - Baton Rouge,Baton Route,LA,Local,Eviction Moratorium,https://www.theadvocate.com/baton_rouge/news/coronavirus/article_47a806ca-6d45-11ea-844c-03114270875d.html,Hearings rescheduled to no sooner than April 20
2020-03-26T03:29:29.113Z,-90.08,Louisiana - New Orleans,New Orleans,LA,Local,Eviction Moratorium,https://www.nola.com/news/coronavirus/article_8ba8720c-6565-11ea-9c79-db9b668bf2a5.html,Thru April 24
2020-03-26T03:29:29.113Z,,Maryland,Maryland,MD,State,Eviction Moratorium,https://governor.maryland.gov/wp-content/uploads/2020/03/Executive-Order-Temp-Evictions-Prohibiting.pdf,Duration of state of emergency
2020-03-26T03:29:29.113Z,-76.609383,Maryland - Baltimore,Baltimore,MD,Local,Eviction Moratorium,https://www.kvue.com/article/news/health/coronavirus/coronavirus-austin-utilities-not-disconnecting-for-non-payment/269-96947fa7-1916-4884-a933-904715d90bd4,Until schools re-open
2020-03-26T03:29:29.113Z,,Massachusetts,Massachusetts,MA,State,Eviction Moratorium,https://www.mass.gov/advisory/housing-court-non-emergency-cases-will-be-re-scheduled-to-after-april-21-2020,No new eviction cases heard before April 22
2020-03-26T03:29:29.113Z,-71.063611,Massachusetts - Boston,Boston,MA,Local,Eviction Moratorium,https://www.bostonglobe.com/2020/03/18/business/sanders-warren-push-halt-evictions-during-coronavirus-crisis/,"Public housing evictions halted thru April 17, all eviction hearings delayed thru April 22"
2020-03-26T03:29:29.113Z,-71.162587,Massachusetts - Lawrence,Lawrence,MA,Local,Eviction Moratorium,https://www.eagletribune.com/news/merrimack_valley/rivera-city-council-place-moratorium-on-evictions/article_85c0c06f-f6db-5943-84fe-7b97ad14d08c.html,"Pending passage into city ordinance, expected at March 31 virtual city council meeting"
2020-03-26T03:29:29.113Z,,Michigan,Michigan,MI,State,Eviction Moratorium,https://www.freep.com/story/news/local/michigan/detroit/2020/03/20/michigan-executive-order-evictions-coronavirus/2885255001/,Thru April 17
2020-03-26T03:29:29.113Z,-83.045833,Michigan - 36th District Court (Detroit),36th District Court (Detroit),MI,Local,Eviction Moratorium,https://www.36thdistrictcourt.org/about-us/announcements/2020/03/13/all-matters-scheduled-between-march-16-2020-and-april-3-2020-will-be-rescheduled-to-a-future-date.-court-appearance-notices-will-be-mailed-and-you-can-check-our-website-for-more-information.-you-can-also-sign-up-for-court-date-reminders-via-the-website,No hearings until further notice
2020-03-26T03:29:29.113Z,,Minnesota,Minnesota,MN,State,Eviction Moratorium,http://www.mncourts.gov/About-The-Courts/NewsAndAnnouncements/ItemDetail.aspx?id=1863,No hearings before March 31
2020-03-26T03:29:29.113Z,-94.578333,Missouri - Jackson County (Kansas City),Jackson County,MO,Local,Eviction Moratorium,https://www.kshb.com/news/coronavirus/judge-orders-temporary-freeze-of-evictions-in-jackson-county,Thru April 18
2020-03-26T03:29:29.113Z,-90.197778,Missouri - St. Louis,St. Louis,MO,Local,Moratorium on Utility Shutoffs,https://www.ksdk.com/article/news/health/coronavirus/st-louis-city-leaders-giving-update-on-covid-19-efforts/63-315fa80d-c482-4b10-8e9d-de064018a3be,No water shut-offs thru May 15
2020-03-26T03:29:29.113Z,-96,Nebraska - Omaha,Omaha,NE,Local,Eviction Moratorium,https://www.omaha.com/news/local/omaha-housing-authority-temporarily-halts-evictions-amid-coronavirus-outbreak/article_e70e201d-2e0f-549d-bb5c-7672b87df90d.html,No evictions from public housing until further notice
2020-03-26T03:29:29.113Z,-115.0253,Nevada - Henderson,Henderson,NV,Local,Eviction Moratorium,http://www.clarkcountynv.gov/justicecourt/henderson/Documents/covid_order.pdf,Thru April 20
2020-03-26T03:29:29.113Z,-115.136389,Nevada - Las Vegas,Las Vegas,NV,Local,Eviction Moratorium,http://www.lasvegasjusticecourt.us/Admin%20Order%2020-03%20Amended.pdf,Thru April 20
2020-03-26T03:29:29.113Z,-115.146667,Nevada - North Las Vegas,North Las Vegas,NV,Local,Eviction Moratorium,https://www.clarkcountynv.gov/justicecourt/nlv/Documents/NLV%20Justice%20Ct-Admin%20Order%202020-02.pdf,Thru April 16
